iter	Passed	Remaining
0	20	12142
1	44	13379
2	64	12741
3	87	13050
4	103	12307
5	120	11883
6	140	11907
7	156	11552
8	170	11210
9	185	10924
10	200	10755
11	214	10530
12	227	10288
13	241	10088
14	254	9942
15	268	9793
16	281	9665
17	295	9555
18	308	9425
19	321	9309
20	335	9243
21	349	9172
22	363	9119
23	377	9062
24	391	9003
25	404	8938
26	419	8913
27	433	8846
28	446	8796
29	461	8764
30	474	8717
31	488	8669
32	502	8628
33	515	8584
34	534	8627
35	549	8604
36	562	8564
37	575	8513
38	588	8461
39	600	8413
40	613	8365
41	627	8333
42	641	8304
43	654	8276
44	667	8230
45	679	8185
46	692	8152
47	706	8125
48	721	8111
49	733	8069
50	737	7941
51	751	7916
52	764	7890
53	777	7860
54	790	7831
55	804	7812
56	817	7787
57	829	7755
58	842	7725
59	855	7703
60	871	7698
61	884	7675
62	896	7644
63	909	7618
64	922	7589
65	935	7569
66	949	7554
67	951	7445
68	964	7426
69	977	7401
70	990	7382
71	1004	7365
72	1006	7263
73	1021	7258
74	1034	7242
75	1048	7228
76	1063	7224
77	1076	7203
78	1089	7183
79	1101	7161
80	1114	7143
81	1128	7127
82	1141	7110
83	1153	7086
84	1168	7078
85	1182	7066
86	1196	7054
87	1210	7040
88	1224	7027
89	1236	7009
90	1250	6996
91	1265	6990
92	1280	6979
93	1296	6978
94	1310	6967
95	1324	6954
96	1338	6938
97	1351	6924
98	1365	6910
99	1380	6901
100	1394	6891
101	1409	6881
102	1423	6867
103	1437	6854
104	1450	6837
105	1464	6823
106	1478	6812
107	1493	6802
108	1507	6789
109	1521	6778
110	1534	6760
111	1548	6744
112	1561	6727
113	1575	6718
114	1589	6705
115	1603	6689
116	1616	6672
117	1629	6656
118	1642	6640
119	1656	6624
120	1669	6610
121	1683	6597
122	1696	6580
123	1711	6569
124	1725	6558
125	1740	6546
126	1754	6533
127	1767	6515
128	1779	6498
129	1792	6481
130	1805	6463
131	1819	6450
132	1832	6432
133	1845	6417
134	1858	6400
135	1871	6386
136	1886	6374
137	1899	6358
138	1912	6342
139	1925	6325
140	1939	6312
141	1953	6300
142	1967	6288
143	1981	6274
144	1993	6256
145	2007	6242
146	2020	6227
147	2043	6241
148	2056	6225
149	2070	6212
150	2085	6201
151	2099	6187
152	2113	6175
153	2127	6161
154	2140	6145
155	2153	6129
156	2166	6113
157	2180	6099
158	2193	6084
159	2206	6066
160	2218	6049
161	2231	6033
162	2244	6018
163	2259	6006
